"국가",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"세계",30629971,30804063,30704763,30852305,31131196,31923717,32523975,32918471,33134921,33329417,34208319,34593446,35018764,36315562,37789694,39003678,40128915,41442032,41744913,41308022,43442887,44714896,45230398,45922200,46235969,46135596,46288080,47035210,48069813,48089617,46120921
"아시아",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"아프가니스탄",11631,11900,11548,11679,11733,12181,13231,14217,15064,15981,14205,12605,15255,15961,15572,16636,17264,18219,21349,24314,28586,32446,30929,30430,31166,31619,30865,31751,32580,32737,31119
"아르메니아",24389,24992,14682,8520,5998,6568,5480,6176,6141,5608,5991,6102,5773,6202,6592,7317,7717,8366,8886,7744,7562,8203,9200,9142,9133,9156,9415,9251,9444,9875,10422
"아제르바이잔",75481,73081,82406,61846,42455,41572,36089,35646,36163,36436,38179,37597,37660,40372,40448,43538,45922,45086,49561,45423,44321,46785,49834,51038,52263,52142,52488,51758,53176,56537,55352
"바레인",15951,15591,17789,18783,19236,19948,21197,22198,23956,24541,25624,26452,27656,28718,28964,32239,34714,35915,38405,38946,40906,41607,43195,46014,48107,48874,49459,50342,51258,54195,54151
"방글라데시",91841,92041,94105,95469,98032,103119,103596,105881,105905,110080,111593,117271,120950,122887,124837,129652,135193,138289,146771,150701,158532,164268,169101,174185,179287,187771,195047,205029,214432,212143,206570
"부탄",862,864,851,823,852,950,983,1065,1057,1085,1058,995,1033,999,942,1105,1089,1104,1050,1067,1163,1413,1496,1578,1650,1661,1857,1946,2074,2052,1631
"브루나이",4729,4939,5242,5673,5969,6347,6545,6968,6208,6296,6700,6639,6678,7704,7306,7152,9893,9390,10245,10020,9331,9572,9532,9316,9191,8467,9102,9559,9853,9392,11914
"캄보디아",16130,15826,16358,17174,15942,18637,18929,19134,19219,20480,19380,19390,19829,21317,21182,22593,24166,25321,25951,27280,27846,29108,28708,28695,29453,31144,33921,36541,37519,41948,42363
"중국",3238859,3386236,3515193,3744912,3904475,4307874,4328947,4324410,4442509,4375023,4567274,4759814,5053061,5724514,6489938,7263559,7942464,8551053,8805331,9380447,10211637,11089792,11374796,11861844,11940737,11804697,11773341,12014199,12524335,12732245,12942868
"키프로스",5440,5967,6394,6666,6922,6807,7198,7280,7610,7888,8155,8072,8299,8972,8915,9025,9163,9494,9709,9538,9209,8961,8444,7740,8137,8214,8598,8738,8560,8542,8109
"조지아",49720,40275,32649,27124,19963,16902,15384,14567,14083,13830,14245,11789,11230,11755,11831,12381,12741,13508,12613,13370,13087,14276,15144,16151,16805,17142,17541,17482,17135,17843,17669
